INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Latitude,Longitude,Lon_Lat,distance
261190187,2022-12-31,23:41:00,QUEENS,105,0,18-24,M,BLACK,<18,M,BLACK,40.693091,-73.733598,POINT (-73.733598 40.693091),0.029070153022872736
261175635,2022-12-30,16:26:00,BRONX,44,0,18-24,M,WHITE HISPANIC,45-64,M,BLACK,40.837369,-73.906691,POINT (-73.906691 40.837369),0.005829710958064605
261176929,2022-12-30,17:00:00,MANHATTAN,30,0,25-44,M,BLACK,25-44,M,BLACK,40.82516,-73.949519,POINT (-73.949519 40.82516),0.007742528406723846
261120108,2022-12-29,16:48:00,BRONX,42,1,18-24,F,BLACK,25-44,M,BLACK,40.830025,-73.908341,POINT (-73.908341 40.830025),0.00255127993321171
261120017,2022-12-29,22:08:00,QUEENS,101,0,18-24,M,BLACK,25-44,F,BLACK,40.603766,-73.759286,POINT (-73.759286 40.603766),0.06647954417222916
261120108,2022-12-29,16:48:00,BRONX,42,1,18-24,M,BLACK HISPANIC,25-44,M,BLACK,40.830025,-73.908341,POINT (-73.908341 40.830025),0.00255127993321171
260637443,2022-12-28,18:36:00,BRONX,48,1,25-44,M,BLACK HISPANIC,45-64,M,BLACK HISPANIC,40.843004,-73.886251,POINT (-73.886251 40.843004),0.008357311841253158
260637443,2022-12-28,18:36:00,BRONX,48,0,25-44,M,BLACK HISPANIC,45-64,M,BLACK HISPANIC,40.843004,-73.886251,POINT (-73.886251 40.843004),0.008357311841253158
260637443,2022-12-28,18:36:00,BRONX,48,1,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,40.843004,-73.886251,POINT (-73.886251 40.843004),0.008357311841253158
260637443,2022-12-28,18:36:00,BRONX,48,0,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,40.843004,-73.886251,POINT (-73.886251 40.843004),0.008357311841253158
260531774,2022-12-27,01:38:00,QUEENS,103,1,25-44,M,BLACK,25-44,M,BLACK,40.694181,-73.802536,POINT (-73.802536 40.694181),0.021281236079061717
260524023,2022-12-26,21:08:00,BRONX,49,1,25-44,M,BLACK,25-44,M,BLACK,40.84162225,-73.86939615,POINT (-73.86939615 40.84162225),0.025264732033144086
260523676,2022-12-26,11:31:00,MANHATTAN,34,1,<18,M,BLACK,45-64,F,BLACK HISPANIC,40.86452525,-73.92661873,POINT (-73.92661873 40.86452525),0.0038070116066305395
260504303,2022-12-26,04:05:00,BRONX,48,1,18-24,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,40.843004,-73.886251,POINT (-73.886251 40.843004),0.008357311841253158
260523675,2022-12-26,11:46:00,MANHATTAN,34,0,25-44,M,BLACK HISPANIC,25-44,M,BLACK,40.86278,-73.918945,POINT (-73.918945 40.86278),0.004931633980905921
260491296,2022-12-25,02:09:00,QUEENS,115,0,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,40.753997,-73.864793,POINT (-73.864793 40.753997),0.012520730060237288
260491297,2022-12-25,13:36:00,QUEENS,103,0,18-24,M,BLACK,18-24,M,BLACK,40.698954,-73.79299,POINT (-73.79299 40.698954),0.014162362870042293
260491293,2022-12-24,19:25:00,BROOKLYN,73,0,18-24,M,BLACK,25-44,M,BLACK,40.661648,-73.915002,POINT (-73.915002 40.661648),0.004852232855974317
260491608,2022-12-23,12:15:00,QUEENS,103,1,25-44,M,BLACK,25-44,M,BLACK,40.706592,-73.795606,POINT (-73.795606 40.706592),0.007092981036031334
260491290,2022-12-23,15:10:00,MANHATTAN,32,0,45-64,M,BLACK,45-64,M,BLACK,40.811529,-73.940633,POINT (-73.940633 40.811529),0.002746383206928165
260422772,2022-12-22,13:00:00,BROOKLYN,75,0,<18,M,BLACK,18-24,M,BLACK,40.673077,-73.869907,POINT (-73.869907 40.673077),0.008493896618935312
260423034,2022-12-22,23:49:00,BRONX,47,1,25-44,M,BLACK,25-44,M,BLACK,40.902763,-73.850945,POINT (-73.850945 40.902763),0.028980813184366006
260414180,2022-12-22,12:06:00,MANHATTAN,28,0,18-24,M,BLACK HISPANIC,<18,M,BLACK,40.807768,-73.943382,POINT (-73.943382 40.807768),0.0060238526019652395
260422774,2022-12-22,23:57:00,BRONX,41,0,25-44,F,BLACK,25-44,M,BLACK,40.822076,-73.890328,POINT (-73.890328 40.822076),0.021748841102176574
260416167,2022-12-22,18:26:00,MANHATTAN,23,0,18-24,M,WHITE HISPANIC,18-24,M,BLACK,40.797008,-73.942802,POINT (-73.942802 40.797008),0.01020450795859754
260374587,2022-12-21,08:35:00,BROOKLYN,79,0,25-44,M,BLACK,UNKNOWN,M,UNKNOWN,40.685655,-73.955472,POINT (-73.955472 40.685655),0.006386018554181514
260362155,2022-12-21,14:22:00,BROOKLYN,73,0,25-44,M,BLACK,25-44,M,BLACK,40.668341,-73.906514,POINT (-73.906514 40.668341),0.005978588451102757
260366650,2022-12-21,22:02:00,BRONX,42,0,45-64,M,WHITE HISPANIC,45-64,F,WHITE HISPANIC,40.824201,-73.906494,POINT (-73.906494 40.824201),0.008632094785608552
259091226,2022-12-19,20:08:00,BRONX,40,0,25-44,M,WHITE HISPANIC,18-24,M,BLACK,40.82064782,-73.91771413,POINT (-73.91771413 40.82064782),0.0006533890784534821
256547034,2022-12-18,11:10:00,BRONX,52,1,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,40.866026,-73.891935,POINT (-73.891935 40.866026),0.01775942626317052
256520125,2022-12-18,00:50:00,BRONX,48,0,25-44,M,BLACK,25-44,M,BLACK,40.853443,-73.891534,POINT (-73.891534 40.853443),0.0099123599003401
256484816,2022-12-17,04:08:00,BRONX,52,0,25-44,F,WHITE HISPANIC,25-44,M,WHITE HISPANIC,40.86186421,-73.91273918,POINT (-73.91273918 40.86186421),0.011068852833625046
256512145,2022-12-17,19:29:00,BRONX,49,1,45-64,M,BLACK,25-44,M,BLACK,40.86859,-73.845206,POINT (-73.845206 40.86859),0.011275845395717222
256484816,2022-12-17,04:08:00,BRONX,52,0,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,40.86186421,-73.91273918,POINT (-73.91273918 40.86186421),0.011068852833625046
256484573,2022-12-16,15:22:00,MANHATTAN,28,0,18-24,M,BLACK,18-24,M,BLACK,40.800647,-73.94858,POINT (-73.94858 40.800647),0.0087135576559653
256484815,2022-12-16,21:49:00,MANHATTAN,25,0,45-64,M,BLACK,18-24,F,BLACK,40.800269,-73.941469,POINT (-73.941469 40.800269),0.009039827348135873
256484572,2022-12-16,14:28:00,BRONX,46,0,25-44,M,BLACK,25-44,M,BLACK,40.858569,-73.89686,POINT (-73.89686 40.858569),0.0147509893636739
256484815,2022-12-16,21:49:00,MANHATTAN,25,0,45-64,M,BLACK,25-44,M,BLACK,40.800269,-73.941469,POINT (-73.941469 40.800269),0.009039827348135873
256123228,2022-12-15,21:58:00,BRONX,46,1,18-24,M,BLACK HISPANIC,25-44,M,BLACK,40.855214,-73.915913,POINT (-73.915913 40.855214),0.010382966108716401
256123227,2022-12-15,01:30:00,MANHATTAN,32,0,25-44,M,BLACK,18-24,M,BLACK,40.81063,-73.943399,POINT (-73.943399 40.81063),0.004594145196447579
256123227,2022-12-15,01:30:00,MANHATTAN,32,0,18-24,M,BLACK,18-24,M,BLACK,40.81063,-73.943399,POINT (-73.943399 40.81063),0.004594145196447579
256123226,2022-12-15,16:06:00,MANHATTAN,34,1,25-44,M,BLACK,25-44,M,BLACK,40.861107,-73.926086,POINT (-73.926086 40.861107),0.002432085331133852
256123141,2022-12-15,15:29:00,QUEENS,101,0,<18,M,BLACK,<18,M,BLACK,40.59971,-73.761425,POINT (-73.761425 40.59971),0.07079188076226826
256123228,2022-12-15,21:58:00,BRONX,46,0,18-24,M,BLACK HISPANIC,25-44,M,BLACK,40.855214,-73.915913,POINT (-73.915913 40.855214),0.010382966108716401
255921208,2022-12-14,20:03:00,BROOKLYN,77,0,18-24,M,BLACK,45-64,M,BLACK,40.66864793,-73.92834824,POINT (-73.92834824 40.66864793),0.0088057088849778
255832155,2022-12-13,00:24:00,BRONX,46,1,18-24,M,BLACK,25-44,M,BLACK,40.854881,-73.901128,POINT (-73.901128 40.854881),0.012715285916207648
255765230,2022-12-11,17:45:00,BROOKLYN,81,0,25-44,M,BLACK,18-24,F,BLACK,40.699374,-73.940499,POINT (-73.940499 40.699374),0.0016012981987446274
255701154,2022-12-10,02:36:00,BROOKLYN,61,0,25-44,M,WHITE,25-44,M,WHITE,40.595321,-73.974355,POINT (-73.974355 40.595321),0.012163021711929017
255746295,2022-12-09,19:55:00,BRONX,40,0,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,40.789794,-73.952288,POINT (-73.952288 40.789794),0.009977267319868758
255624649,2022-12-08,15:01:00,BROOKLYN,90,0,<18,M,BLACK,<18,F,WHITE HISPANIC,40.70462487,-73.93502164,POINT (-73.93502164 40.70462487),0.007787777424902181
255648332,2022-12-08,20:09:00,BRONX,47,1,45-64,M,BLACK,25-44,M,BLACK,40.883142,-73.843365,POINT (-73.843365 40.883142),0.016835163473179676
255560355,2022-12-07,15:18:00,MANHATTAN,32,0,<18,M,BLACK,18-24,M,BLACK,40.814608,-73.946068,POINT (-73.946068 40.814608),0.004897135266885312
255138318,2022-12-06,00:08:00,BROOKLYN,73,1,25-44,M,BLACK,<18,F,BLACK,40.675719,-73.921496,POINT (-73.921496 40.675719),0.014379164600060562
255179713,2022-12-06,17:50:00,BRONX,48,0,18-24,M,WHITE HISPANIC,<18,M,WHITE HISPANIC,40.844251,-73.881062,POINT (-73.881062 40.844251),0.013489055995097667
255179715,2022-12-06,15:22:00,MANHATTAN,28,0,18-24,M,BLACK,18-24,M,BLACK HISPANIC,40.80191585,-73.95347777,POINT (-73.95347777 40.80191585),0.008568478578657487
255179713,2022-12-06,17:50:00,BRONX,48,0,18-24,M,WHITE HISPANIC,<18,M,BLACK,40.844251,-73.881062,POINT (-73.881062 40.844251),0.013489055995097667
255179713,2022-12-06,17:50:00,BRONX,48,0,18-24,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,40.844251,-73.881062,POINT (-73.881062 40.844251),0.013489055995097667
255127617,2022-12-05,09:32:00,BROOKLYN,77,0,25-44,M,BLACK,65+,M,BLACK,40.675638,-73.927184,POINT (-73.927184 40.675638),0.008783821960751049
255134279,2022-12-05,15:35:00,BROOKLYN,79,1,18-24,M,BLACK,18-24,M,BLACK,40.69959,-73.951729,POINT (-73.951729 40.69959),0.010128539923203284
255134165,2022-12-05,14:40:00,MANHATTAN,5,1,25-44,M,BLACK,18-24,M,BLACK,40.711382,-74.000106,POINT (-74.000106 40.711382),0.0026302883821369117
255069850,2022-12-03,19:20:00,MANHATTAN,23,0,18-24,M,BLACK,18-24,M,BLACK,40.78845,-73.939372,POINT (-73.939372 40.78845),0.005892705055588887
255028565,2022-12-03,02:09:00,MANHATTAN,32,0,18-24,M,BLACK,18-24,M,BLACK,40.816839,-73.946301,POINT (-73.946301 40.816839),0.006248368373688965
254974253,2022-12-01,23:54:00,BRONX,48,0,25-44,M,BLACK,25-44,M,BLACK,40.85469705,-73.89534312,POINT (-73.89534312 40.85469705),0.010726298860867801
254974253,2022-12-01,23:54:00,BRONX,48,0,25-44,F,BLACK,25-44,M,BLACK,40.85469705,-73.89534312,POINT (-73.89534312 40.85469705),0.010726298860867801
254911480,2022-11-30,21:15:00,BRONX,46,1,<18,F,BLACK HISPANIC,<18,M,BLACK,40.857414,-73.902346,POINT (-73.902346 40.857414),0.015515389623258297
254911480,2022-11-30,21:15:00,BRONX,46,1,18-24,M,BLACK,<18,M,BLACK,40.857414,-73.902346,POINT (-73.902346 40.857414),0.015515389623258297
254713748,2022-11-27,14:05:00,MANHATTAN,30,0,18-24,M,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,40.82384,-73.9443,POINT (-73.9443 40.82384),0.002557172147253433
254701469,2022-11-27,00:51:00,BROOKLYN,83,0,18-24,M,BLACK,<18,F,BLACK,40.695894,-73.919288,POINT (-73.919288 40.695894),0.0011573483485329274
254718211,2022-11-27,21:34:00,MANHATTAN,10,1,25-44,M,WHITE HISPANIC,25-44,M,BLACK,40.743462,-74.00539,POINT (-74.00539 40.743462),0.023781352048807162
254701470,2022-11-27,01:40:00,QUEENS,114,0,25-44,M,BLACK,25-44,M,WHITE HISPANIC,40.766224,-73.927497,POINT (-73.927497 40.766224),0.022900038273784423
254626718,2022-11-25,00:15:00,BRONX,40,0,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,40.822248,-73.920102,POINT (-73.920102 40.822248),0.0025727655162143615
254619181,2022-11-24,14:20:00,BRONX,47,0,18-24,M,BLACK,<18,F,BLACK,40.883332,-73.845505,POINT (-73.845505 40.883332),0.015136662859973017
254619182,2022-11-24,10:38:00,BRONX,42,1,45-64,M,BLACK,25-44,M,BLACK,40.836629,-73.88708,POINT (-73.88708 40.836629),0.010493643583444947
254619182,2022-11-24,10:38:00,BRONX,42,1,25-44,F,BLACK,25-44,M,BLACK,40.836629,-73.88708,POINT (-73.88708 40.836629),0.010493643583444947
254619179,2022-11-24,01:23:00,BRONX,44,0,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,40.830115,-73.919471,POINT (-73.919471 40.830115),0.005818692727805173
254619180,2022-11-24,20:44:00,BRONX,47,1,18-24,M,BLACK,18-24,M,BLACK,40.891419,-73.851095,POINT (-73.851095 40.891419),0.018114677585633024
254541649,2022-11-22,19:05:00,BRONX,49,0,25-44,M,BLACK,45-64,M,ASIAN / PACIFIC ISLANDER,40.859278,-73.86752,POINT (-73.86752 40.859278),0.01812037455482663
254480678,2022-11-21,16:30:00,BRONX,50,1,25-44,M,WHITE HISPANIC,25-44,M,BLACK,40.894872,-73.882173,POINT (-73.882173 40.894872),0.01442030130803105
254418307,2022-11-19,18:12:00,STATEN ISLAND,120,0,<18,M,BLACK,18-24,M,BLACK,40.645056,-74.104773,POINT (-74.104773 40.645056),0.03336376044831481
254374111,2022-11-19,02:12:00,BRONX,44,0,25-44,M,BLACK,25-44,M,BLACK HISPANIC,40.823935,-73.917485,POINT (-73.917485 40.823935),0.002643380398930224
254418307,2022-11-19,18:12:00,STATEN ISLAND,120,0,18-24,M,BLACK,<18,M,BLACK,40.645056,-74.104773,POINT (-74.104773 40.645056),0.03336376044831481
